timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1514403876.426653,0.229401,1.418091,1.520820,-0.015970,-0.044843,0.026475,0.034586,-0.988363,-0.148114,-0.006693,0.001776,0.009472,-32.543228,-48.606960,32.547852,,,,,,,1
1514403876.436663,0.227210,1.418008,1.522598,-0.011668,-0.039490,0.025437,0.034280,-0.988351,-0.148270,-0.010461,-0.007682,0.018952,-32.543228,-48.606960,32.547852,,,,,,,1
1514403876.446642,0.225701,1.417956,1.523879,-0.010510,-0.023318,0.016955,0.034068,-0.988343,-0.148371,-0.015620,-0.008865,0.022791,-32.674942,-48.562054,32.671143,,,,,,,1
1514403876.456622,0.223991,1.417781,1.525182,-0.024515,-0.050026,0.015741,0.033853,-0.988316,-0.148598,0.002250,0.006947,0.011772,-32.674942,-48.562054,32.671143,,,,,,,1
1514403876.466631,0.222045,1.417556,1.526538,-0.025642,-0.062900,0.017821,0.033613,-0.988282,-0.148881,0.007342,0.014832,-0.000090,-32.754425,-48.765385,32.656311,,,,,,,1
,,,,,,,,,,,,,,,,33.823760,-116.547666,139.718384,-1.000000,-1.000000,1514403875.812911,1
1514403876.476611,0.219723,1.417377,1.528146,-0.022494,-0.076880,0.020973,0.033305,-0.988254,-0.149131,0.009328,0.010486,-0.001046,-32.754425,-48.765385,32.656311,,,,,,,1
1514403876.486590,0.217480,1.417171,1.529505,-0.022538,-0.093934,0.014479,0.033015,-0.988223,-0.149405,0.018636,0.011813,0.000067,-32.622925,-48.750896,32.685791,,,,,,,1
1514403876.496600,0.215708,1.417079,1.530376,-0.006439,-0.083229,0.010277,0.032770,-0.988209,-0.149554,0.016135,0.012241,-0.002577,-32.622925,-48.750896,32.685791,,,,,,,1
1514403876.506579,0.214772,1.417193,1.530786,0.016187,-0.040439,0.008368,0.032606,-0.988226,-0.149474,0.000216,0.000158,0.005873,-32.474350,-48.366447,32.798523,,,,,,,1
1514403876.516558,0.214696,1.417377,1.530622,0.015209,-0.024210,-0.003327,0.032555,-0.988254,-0.149298,-0.005975,-0.000271,0.018347,-32.474350,-48.366447,32.798523,,,,,,,1
1514403876.526568,0.215592,1.417432,1.529443,0.003472,-0.029293,-0.020483,0.032678,-0.988263,-0.149216,0.000235,0.009427,0.017289,-32.431488,-48.189720,32.916199,,,,,,,1
1514403876.536547,0.216662,1.417394,1.528038,0.001324,-0.031426,-0.020497,0.032845,-0.988257,-0.149217,-0.007699,0.010580,0.004182,-32.431488,-48.189720,32.916199,,,,,,,1
1514403876.546527,0.217929,1.417517,1.526638,0.019597,-0.004776,-0.016067,0.033008,-0.988276,-0.149056,-0.008395,0.003000,-0.001549,-32.489120,-48.259777,32.901917,,,,,,,1
1514403876.556536,0.219231,1.417720,1.525294,0.023870,-0.005879,-0.014995,0.033158,-0.988307,-0.148817,0.012069,-0.005117,-0.001269,-32.489120,-48.259777,32.901917,,,,,,,1
1514403876.566516,0.219712,1.417805,1.524544,0.007701,-0.032710,-0.006586,0.033211,-0.988320,-0.148719,0.020133,0.005623,-0.001306,-32.410034,-48.479450,32.737854,,,,,,,1
1514403876.576495,0.219762,1.417935,1.524206,0.019477,-0.024303,0.002029,0.033191,-0.988339,-0.148592,0.023144,0.014264,-0.005171,-32.410034,-48.479450,32.737854,,,,,,,1
1514403876.586505,0.219669,1.418345,1.524329,0.046315,0.009711,0.013993,0.033089,-0.988402,-0.148198,0.014717,0.007170,-0.011210,-32.441620,-48.604820,32.792664,,,,,,,1
1514403876.596484,0.219723,1.418972,1.524490,0.061337,0.022491,0.015147,0.032962,-0.988497,-0.147592,-0.000216,0.001406,-0.005698,-32.441620,-48.604820,32.792664,,,,,,,1
1514403876.606463,0.219039,1.419515,1.525290,0.048400,0.004156,0.027877,0.032744,-0.988579,-0.147092,0.001527,0.008095,0.000790,-32.497665,-48.469620,32.875183,,,,,,,1
1514403876.616473,0.216479,1.420056,1.527811,0.043990,-0.010140,0.056685,0.032253,-0.988660,-0.146653,-0.001369,0.000959,0.009843,-32.497665,-48.469620,32.875183,,,,,,,1
1514403876.626452,0.213105,1.420769,1.531411,0.063387,0.034624,0.067615,0.031609,-0.988767,-0.146072,-0.004463,-0.016604,0.029968,-32.409851,-48.335983,32.990112,,,,,,,1
1514403876.636431,0.210027,1.421564,1.535099,0.064523,0.057027,0.074135,0.030995,-0.988886,-0.145398,0.007442,-0.022421,0.027829,-32.409851,-48.335983,32.990112,,,,,,,1
1514403876.646441,0.206332,1.422236,1.539299,0.048415,0.043142,0.076183,0.030321,-0.988985,-0.144861,0.008436,0.000506,0.019952,-32.540710,-48.087978,33.032166,,,,,,,1
1514403876.656420,0.202233,1.422845,1.543916,0.047343,0.046287,0.081543,0.029605,-0.989075,-0.144392,0.010907,0.018403,0.012281,-32.540710,-48.087978,33.032166,,,,,,,1
1514403876.666400,0.197838,1.423564,1.548749,0.061183,0.034334,0.090071,0.028831,-0.989181,-0.143822,0.014169,0.009856,0.008385,-32.605927,-48.021809,32.806152,,,,,,,1
1514403876.676409,0.191960,1.424455,1.555045,0.071821,0.035046,0.113624,0.027816,-0.989311,-0.143123,-0.002822,-0.001122,0.013164,-32.605927,-48.021809,32.806152,,,,,,,1
1514403876.686389,0.185494,1.425265,1.561846,0.055735,0.022299,0.110330,0.026742,-0.989429,-0.142510,-0.031900,0.001590,0.016656,-32.771286,-47.971661,33.018372,,,,,,,1
1514403876.696368,0.179940,1.425838,1.567740,0.038731,0.038693,0.091121,0.025848,-0.989512,-0.142097,-0.017517,0.016093,0.019859,-32.771286,-47.971661,33.018372,,,,,,,1
1514403876.706378,0.175615,1.426530,1.573055,0.064733,0.121152,0.085117,0.025114,-0.989612,-0.141533,-0.005705,-0.000745,0.014412,-32.754379,-48.097733,32.942383,,,,,,,1
1514403876.716357,0.172880,1.427759,1.578080,0.118692,0.254686,0.096505,0.024517,-0.989788,-0.140401,-0.015454,-0.045018,0.017735,-32.754379,-48.097733,32.942383,,,,,,,1
1514403876.726336,0.169803,1.429285,1.584015,0.136945,0.281216,0.109491,0.023830,-0.990004,-0.138987,-0.021587,-0.040575,0.015940,-33.220062,-47.895142,33.030762,,,,,,,1
1514403876.736346,0.173162,1.430749,1.583521,0.148113,0.292942,-0.048737,0.024047,-0.990209,-0.137477,-0.015242,0.004751,-0.000462,-33.220062,-47.895142,33.030762,,,,,,,1
1514403876.746325,0.197699,1.431494,1.561702,0.115662,0.290291,-0.319414,0.027267,-0.990313,-0.136123,-0.060196,0.098742,-0.010545,-32.921600,-47.724014,32.824097,,,,,,,1
1514403876.756304,0.217356,1.431597,1.544971,0.041573,0.317636,-0.180375,0.029916,-0.990327,-0.135461,-0.136544,0.102663,-0.029060,-32.921600,-47.724014,32.824097,,,,,,,1
1514403876.766314,0.228243,1.431964,1.537446,0.072467,0.353679,-0.081756,0.031307,-0.990378,-0.134774,-0.018871,0.008872,-0.008415,-33.058243,-47.917259,32.691101,,,,,,,1
1514403876.776293,0.238781,1.432817,1.530403,0.111991,0.346940,-0.069952,0.032525,-0.990496,-0.133615,0.129370,-0.008741,-0.022146,-33.058243,-47.917259,32.691101,,,,,,,1
1514403876.786273,0.246126,1.433977,1.525951,0.127668,0.281959,-0.022083,0.033226,-0.990655,-0.132257,0.087883,-0.008277,-0.043142,-33.384537,-47.956741,32.489075,,,,,,,1
1514403876.796282,0.252215,1.435235,1.522344,0.136074,0.241222,-0.022250,0.033720,-0.990826,-0.130847,-0.011320,0.003490,-0.032957,-33.384537,-47.956741,32.489075,,,,,,,1
1514403876.806262,0.261976,1.436393,1.515117,0.133189,0.281729,-0.086250,0.034698,-0.990981,-0.129403,-0.057632,0.032943,-0.007422,-33.594070,-47.876713,32.634644,,,,,,,1
1514403876.816241,0.276670,1.437335,1.504052,0.131622,0.407577,-0.124195,0.036340,-0.991107,-0.127981,-0.051737,0.031909,0.021856,-33.594070,-47.876713,32.634644,,,,,,,1
